Steve Lukather,bassGuitar,S10000,CO0576,RO0013,,Adam Levine,CO0001,,acousticGuitar,RO0001,,,Global,M0001,,222 Records,RL0001,,M0001,RL0021,S10000, 2008-02-08 00:00:00,Epic,Beat it,Global
Bill Wolfer,keyboard,S10000,CO0061,RO0044,,Adele Adkins,CO0002,,additionalEngineer,RO0002,,,Japan,M0002,,Aftermath,RL0002,,M0001,RL0025,S10001, 2017-02-01 00:00:00,Interscope,Believer,Global
Steve Porcaro,synthesizer,S10000,CO0578,RO0076,,Adora,CO0003,,additionalKeyboard,RO0003,,,United Kingdom,M0003,,American Recordings,RL0003,,M0001,RL0015,S10002, 1996-02-13 00:00:00,Death Row Records,All Eyez On Me,Global
Greg Philinganes,synthesizer,S10000,CO0216,RO0076,,Agluba,CO0004,,additionalProducer,RO0004,,,United States,M0004,,Arista,RL0004,,M0001,RL0029,S10003, 1990-05-07 00:00:00,Mute,Policy of Truth,Global
Greg Smith,synthesizer,S10000,CO0217,RO0076,,Al Sanderson,CO0005,,additionalVoice,RO0005,,,,,,Arts & Crafts,RL0005,,M0001,RL0005,S10004, 2010-01-26 00:00:00,Arts & Crafts,Romance Is Boring,Global
Michael Jackson,lyricist,S10000,CO0424,RO0049,,Alan Gregorie,CO0006,,assistantEngineer,RO0006,,,,,,Asylum,RL0006,,M0001,RL0038,S10005, 2012-10-05 00:00:00,XL Recordings,Skyfall,Global
Paul Jackson Jr.,rhythmGuitar,S10000,CO0479,RO0065,,Alan Parsons,CO0007,,assistantMixingEngineer,RO0007,,,,,,Atlantic,RL0007,,M0001,RL0002,S10006, 2000-11-20 00:00:00,Aftermath,Stan,Global
Tom Bahler,synclavier,S10000,CO0603,RO0074,,Alan Wilder,CO0008,,assistantOrchestraContractor,RO0008,,,,,,BOYS DON'T CRY,RL0008,,M0001,RL0025,S10007, 2012-10-29 00:00:00,Interscope,Radioactive,Global
Jeff Porcaro,drum,S10000,CO0279,RO0028,,Aleksandra Campesinos!,CO0009,,associateProducer,RO0009,,,,,,Big Machine,RL0009,,M0001,RL0028,S10008, 2013-01-08 00:00:00,Mosley,If I Lose Myself,Global
Michael Jackson,leadVoice,S10000,CO0424,RO0047,,Alessandro Lindblad,CO0010,,audioEngineer,RO0010,,,,,,BigHit Entertainment,RL0010,,M0001,RL0033,S10009, 2019-08-30 00:00:00,Republic Records,Circles,Global
Garmaise,dataSanitization,S10000,CO0202,RO0024,,Alesso Kevins,CO0011,,backgroundVoice,RO0011,,,,,,Blue Note,RL0011,,M0001,RL0027,S10010, 2001-08-22 00:00:00,Marvelous Entertainment,Escape from the City,Global
Quincy Jones,producer,S10000,CO0504,RO0062,,Alex Giannascoli,CO0012,,bass,RO0012,,,,,,Capitol,RL0012,,M0001,RL0033,S10011, 2021-10-12 00:00:00,Republic Records,All Too Well (10 Minute Version)(Taylor's Version)[From The Vault],Global
Eddie Van Halen,electricGuitar,S10000,CO0169,RO0031,,Alex Prieto,CO0013,,bassGuitar,RO0013,,,,,,Columbia,RL0013,,M0001,RL0021,S10012, 1986-02-14 00:00:00,Epic,The Final Countdown,Global
Agluba,dataCollection,S10000,CO0004,RO0023,,Alex Resoagli,CO0014,,brass,RO0014,,,,,,Crown Record,RL0014,,M0001,RL0028,S10013, 2013-06-14 00:00:00,Mosley,Counting Stars,Global
Dan Reynolds,leadVoice,S10001,CO0117,RO0047,,Alex Turner,CO0015,,cello,RO0015,,,,,,Death Row Records,RL0015,,M0001,RL0012,S10014, 1965-08-06 00:00:00,Capitol,Yesterday,Global
Ben McKee,lyricist,S10001,CO0055,RO0049,,Alex Williams,CO0016,,chimes,RO0016,,,,,,Distinct'ive Breaks,RL0016,,M0001,RL0001,S10015, 2014-01-13 00:00:00,222 Records,Sugar,Global
Daniel Platzman,lyricist,S10001,CO0117,RO0049,,Alexander Deveman,CO0017,,choir,RO0017,,,,,,Domino,RL0017,,M0003,RL0019,S10016, 1975-10-31 00:00:00,EMI,Bohemian Rhapsody,United Kingdom
Dan Reynolds,lyricist,S10001,CO0117,RO0049,,Alexander Grant,CO0018,,choirArranger,RO0018,,,,,,Dualtone Records,RL0018,,M0001,RL0002,S10017, 2020-03-05 00:00:00,Aftermath,Leave the Door Open,Global
Wayne Sermon,lyricist,S10001,CO0628,RO0049,,Alexander Grimes,CO0019,,choirMaster,RO0019,,,,,,EMI,RL0019,,M0001,RL0031,S10018, 1987-02-08 00:00:00,Profile Records,,Global
Justin Tranter,lyricist,S10001,CO0326,RO0049,,Ali Tamposi,CO0020,,co-producer,RO0020,,,,,,Elektra Records,RL0020,,M0001,RL0007,S10019, 2015-08-31 00:00:00,Big Machine,Wildest Dreams,Global
