CO0001,Adam Levine
CO0002,Adele Adkins
CO0003,Adora
CO0004,Agluba
CO0005,Al Sanderson
CO0006,Alan Gregorie
CO0007,Alan Parsons
CO0008,Alan Wilder
CO0009,Aleksandra Campesinos!
CO0010,Alessandro Lindblad
CO0011,Alesso Kevins
CO0012,Alex Giannascoli
CO0013,Alex Prieto
CO0014,Alex Resoagli
CO0015,Alex Turner
CO0016,Alex Williams
CO0017,Alexander Deveman
CO0018,Alexander Grant
CO0019,Alexander Grimes
CO0020,Ali Tamposi
CO0021,Alka Ajith
CO0022,Alka Yagnik
CO0023,Allen Sides
CO0024,Alvin McGill
CO0025,Amirbai Karnataki
CO0026,Ammo
CO0027,Amos Heller
CO0028,Ander Young
CO0029,Anderson Park
CO0030,Andre Owen
CO0031,Andrea Vogt
CO0032,Andrew Cedar
CO0033,Andrew Fletcher
CO0034,Andrew Watt
CO0035,Andrew Wotman
CO0036,Andy Chatterley
CO0037,Andy Johns
CO0038,Andy Wallace
CO0039,Annie
CO0040,Anthony Peterson
CO0041,Anton Fig
CO0042,Ari Levine
CO0043,Arif Mardin
CO0044,Arijan Vujica
CO0045,Artie Smith
CO0046,Arvin Danny Jeyathasan
CO0047,Atamnia
CO0048,Austin Hoke
CO0049,Austin Richard Post
CO0050,Avery Bright
CO0051,BTS
CO0052,Babin
CO0053,Belly
CO0054,Ben Baptie
CO0055,Ben McKee
CO0056,Benjamin Levin
CO0057,Benjamin Portman
CO0058,Benny Blanco
CO0059,Bernie Grundman
CO0060,Bernie Taupin
CO0061,Bill Wolfer
CO0062,Billy Steinberg
CO0063,Billy Walsh
CO0064,Birdman West
CO0065,Blake Espy
CO0066,Bob Blutton
CO0067,Bob Lacivita
CO0068,Bob Ludwig
CO0069,Bobbie Gordon
CO0070,Boi-1da
CO0071,Brad Shultz
CO0072,Bram Tobey
CO0073,Brent Kutzle
CO0074,Brian Cinderhearts
CO0075,Brian Gardner
CO0076,Brian Lucey
CO0077,Brian May
CO0078,Brian Robbins
CO0079,Brock Korsan
CO0080,Bruce Welch
CO0081,Bruno Mars
CO0082,Bryce Bordone
CO0083,Bryon Isaacs
CO0084,Buddy Ross
CO0085,Byron Isaacs
CO0086,Caitilin Evanson
CO0087,Cameron Montgomery
CO0088,Cardo
CO0089,Carl Larson
CO0090,Carmen Rizzo
CO0091,Catriel
CO0092,Chad Cuttill
CO0093,Chad Smith
CO0094,Charles Callahan
CO0095,Charles Moniz
CO0096,Charlie Puth
CO0097,Charlotte Matthews
CO0098,Chiu
CO0099,Chloe
CO0100,Chris Galland
CO0101,Chris Garcia
CO0102,Chris Gehringer
CO0103,Chris Healings
CO0104,Chris Leonard
CO0105,Chris Lord-Alge
CO0106,Chris Sclafani
CO0107,Christian Plata
CO0108,Christopher Brody Brown
CO0109,Christopher Rowe
CO0110,Chung King Studios
CO0111,Cirkut
CO0112,Clint Gibbs
CO0113,Cody Chicowski
CO0114,Cory Bice
CO0115,Curtis Peoples
CO0116,Cuscuna
CO0117,Cyndi Lauper
CO0118,D'Mile
CO0119,D.M.C.
CO0120,DJ Frank E
CO0121,Dabbaghian
CO0122,Dagenais
CO0123,Dallali
CO0124,Damien Lewis
CO0125,Damon Albarn
CO0126,Dan Korneff
CO0127,Dan Reynolds
CO0128,Dan Rieser
CO0129,Daniel Miller
CO0130,Daniel Platzman
CO0131,Daniel Tichenor
CO0132,Daron Malakian
CO0133,Daron Malkaian
CO0134,Darren Mora
CO0135,Daryl Bamonte
CO0136,Dave Aron
CO0137,Dave Jerden
CO0138,Dave Kutch
CO0139,Dave Sardy
CO0140,Dave Yaden
CO0141,Dave bickler
CO0142,Daveon Jackson
CO0143,David Browne
CO0144,David Bukovinszky
CO0145,David Gahan
CO0146,David Hart
CO0147,David Kutch
CO0148,David McGlohon
CO0149,David Paton
CO0150,David Payne
CO0151,Demi Lovato
CO0152,Dennis Mitchell
CO0153,Depeche Mode
CO0154,Derek Garten
CO0155,Dick Meaney
CO0156,Dido
CO0157,Dido Armstrong
CO0158,Diggs
CO0159,Doug  Hnederson
CO0160,Doug McKean
CO0161,Doug Sax
CO0162,Dr. Dre
CO0163,Dr. Luke
CO0164,Dr.Dre
CO0165,Drake
CO0166,Drew Brown
CO0167,Ed Sheeran
CO0168,Eddie Fisher
CO0169,Eddie Van Halen
CO0170,Eddy Schreyer
CO0171,Efstathakis
CO0172,Ellen Campesinos!
CO0173,Elton John
CO0174,Emile Haynie
CO0175,Emily Nelson
CO0176,Emily Weisband
CO0177,Eminem
CO0178,Emma Kummrow
CO0179,Eric Bazilian
CO0180,Eric Corson
CO0181,Eric Eylands
CO0182,Eric Valentine
CO0183,Eric Woolfson
CO0184,Erik Madrid
CO0185,Evan Smith
CO0186,Ex Reyes
CO0187,Fergie Fredriksen
CO0188,Fernandez Cortez
CO0189,Filip Gežin
CO0190,Flood
CO0191,Fouert
CO0192,Francois Kevorkian
CO0193,Frank Dukes
CO0194,Frank Ocean
CO0195,Frankie Sullivan
CO0196,Freddie Mercury
CO0197,Freddie mercury
CO0198,Gabriel Manuals Wallace
CO0199,Ganz
CO0200,Gared Crawford
CO0201,Gareth Campesinos!
CO0202,Garmaise
CO0203,Geoff Swan
CO0204,George Harrison
CO0205,George Martin
CO0206,Gina Corso
CO0207,Glenn Fischbach
CO0208,Gob Glutton
CO0209,Goh Hotoda
CO0210,Gorillaz
CO0211,Grandmaster ofMastering
CO0212,Greg Camp
CO0213,Greg Collins
CO0214,Greg Gordon
CO0215,Greg Moffet
CO0216,Greg Philinganes
CO0217,Greg Smith
CO0218,Guy A. Marco
CO0219,Guy Davie
CO0220,H.O.S
CO0221,Hailee Steinfeld
CO0222,Halsey
CO0223,Harley Arsenault
CO0224,HarpEri
CO0225,Harriet Campesinos!
CO0226,Haruki Nakayama
CO0227,Hassani
CO0228,Henry Walter
CO0229,Hernaez
CO0230,Hill Brim Swimmer
CO0231,Hillary Lindsey
CO0232,Hirose Akane
CO0233,Hitman Bang
CO0234,Hoang
CO0235,Homer Steinweiss
CO0236,Howie Weinberg
CO0237,Hristov
CO0238,Hu
CO0239,Huang
CO0240,Huynh
CO0241,Hybrid
CO0242,HyeJeong Park
CO0243,Hyunwoo Nam
CO0244,Ian Bairnson
CO0245,Ian Haugland
CO0246,Ian Shea
CO0247,Internoscia
CO0248,Isao Kikuchi
CO0249,Island Studios
CO0250,Isobel Griffiths
CO0251,Ivan
CO0252,Izaak Mills
CO0253,J-hope
CO0254,J.A.C Redford
CO0255,JAY-Z
CO0256,Jack Antonoff
CO0257,Jack Fairbrother
CO0258,Jacob Hindlin
CO0259,Jaden Michaels
CO0260,Jaime Preciado
CO0261,Jake Gosling
CO0262,Jam Master Jay
CO0263,James Ford
CO0264,James Preston Pennington
CO0265,James Reid
CO0266,James Valentine
CO0267,Jamie Cook
CO0268,Jamie Lidderdale
CO0269,Jarad Higgins
CO0270,Jared Champion
CO0271,Jason Agel
CO0272,Jason Cox
CO0273,Jason Quenneville
CO0274,Javed Ali
CO0275,Jay Burnett
CO0276,Jay Newland
CO0277,Jeff Bhasker
CO0278,Jeff Ellis
CO0279,Jeff Porcaro
CO0280,Jenny O'Grady
CO0281,Jeremiah Fraites
CO0282,Jeremie Inhaber
CO0283,Jeremy Lertola
CO0284,Jerry Cantrell
CO0285,Jesse Carmichael
CO0286,Jesse Harris
CO0287,Jherek Bischoff
CO0288,Jherek Bischoff
CO0289,Jihye Yoon
CO0290,Jim Peterik
CO0291,Jim Romano
CO0292,Jimin
CO0293,Jimmy Page
CO0294,Jin
CO0295,Joe Hartwell Jones
CO0296,Joe LaPorta
CO0297,Joe Rubel
CO0298,Joe Zook
CO0299,Joey Tempest
CO0300,John Armstrong
CO0301,John Bender
CO0302,John Bonhman
CO0303,John Deacon
CO0304,John Dolmayan
CO0305,John Goodmanson
CO0306,John Hanes
CO0307,John Lennon
CO0308,John Levén
CO0309,John Norum
CO0310,John Paul Jones
CO0311,John Paul jones
CO0312,John Pierce
CO0313,John Rooney
CO0314,John Yudkin
CO0315,Johnny Lee Jackson
CO0316,Jon Brion
CO0317,Jon Gautier
CO0318,Jonathan Kim
CO0319,Jonathan Sher
CO0320,Josh Alexander
CO0321,Josh Mosser
CO0322,Joshua Coleman
CO0323,Jubin Nautiyal
CO0324,Jun Senoue
CO0325,Jungkook
CO0326,Justin Tranter
CO0327,Kaan Gunesberk
CO0328,Kaitlin Moreno
CO0329,Kanami T?no
CO0330,Kanye West
CO0331,Kato Khandwala
CO0332,Katsuji Kirita
CO0333,Kellin Quinn
CO0334,Kentaro Akutsu
CO0335,Kentaru Akutsu
CO0336,Kevin Coleman
CO0337,Kevin Elson
CO0338,Kevin Gomringer
CO0339,Kevin Peterson
CO0340,Kevin Shuss
CO0341,Khalil Walton
CO0342,Khan
CO0343,Khari Cain
CO0344,Kim Campesinos!
CO0345,Kim Subin
CO0346,Krishnakumar Kunnath KK
CO0347,Kristin Weber
CO0348,Kyle Davis
CO0349,Labrecque
CO0350,Laramee Pelosse
CO0351,Larry Muhoberac
CO0352,Larry Smith
CO0353,Laura Sisk
CO0354,Laurence Love Greed
CO0355,Layne Staley
CO0356,Lee Alexander
CO0357,Lee Mullin
CO0358,Lee Sun Kyoung
CO0359,Lee Taewook
CO0360,Lelichev
CO0361,Lennie Petze
CO0362,Lennon–McCartney
CO0363,Lenny Zakatek
CO0364,Leo Taylor
CO0365,Leslie Ann Jones
CO0366,Liang
CO0367,Ligay
CO0368,Lin
CO0369,Lincoln Parish
CO0370,Liz Rose
CO0371,Louis Bell
CO0372,Lowell Reynolds
CO0373,Luigi Mazzochi
CO0374,Luis Conte
CO0375,Lukasz Gottwald
CO0376,Luna Gonzalez
CO0377,MISA
CO0378,Maa
CO0379,Machado De Souza
CO0380,Madison Parker
CO0381,Magic VEnture Studios
CO0382,Magnus Karlsson
CO0383,Malavika
CO0384,Malay
CO0385,Malay Ho
CO0386,Manny Marroquin
CO0387,Marc Droubay
CO0388,Marc Klasfeld
CO0389,Marcos Siega
CO0390,Mark Birkey
CO0391,Mark Flannery
CO0392,Mark Goldenberg
CO0393,Mark Mann
CO0394,Mark Ronson
CO0395,Mark Stent
CO0396,Marshall Mathers
CO0397,Marshment
CO0398,Martin Gore
CO0399,Martin L. Gore
CO0400,"Masterdisk, New York, NY"
CO0401,Mat Sinner
CO0402,Matt Billingslea
CO0403,Matt Flynn
CO0404,Matt Green
CO0405,Matt Helders
CO0406,Matt Shultz
CO0407,Matt Wiggins
CO0408,Matthan Minster
CO0409,Matthew Sheeran
CO0410,Matthew Tryba
CO0411,Mattias Bylund
CO0412,Mattias Johansson
CO0413,Mattias Larsson
CO0414,Mattias Per Larsson
CO0415,Max Bernstein
CO0416,Max Lord
CO0417,Max Martin
CO0418,Mel-Man
CO0419,Melanie Fontana
CO0420,Merethe Soltvedt
CO0421,Metro Voices
CO0422,Mic Michaeli
CO0423,Michael Ilbert
CO0424,Michael Jackson
CO0425,Michael Park
CO0426,Michael Polonchak
CO0427,Michael Riddleberger
CO0428,Michael Thompson
CO0429,Michael Urbano
CO0430,Micheal Urbano
CO0431,Mickey Madden
CO0432,Mike Bozzi
CO0433,Mike Clink
CO0434,Mike Elizondo
CO0435,Mike Fuentes
