RL0001,222 Records
RL0002,Aftermath
RL0003,American Recordings
RL0004,Arista
RL0005,Arts & Crafts
RL0006,Asylum
RL0007,Atlantic
RL0008,BOYS DON'T CRY
RL0009,Big Machine
RL0010,BigHit Entertainment
RL0011,Blue Note
RL0012,Capitol
RL0013,Columbia
RL0014,Crown Record
RL0015,Death Row Records
RL0016,Distinct'ive Breaks
RL0017,Domino
RL0018,Dualtone Records
RL0019,EMI
RL0020,Elektra Records
RL0021,Epic
RL0022,Fearless Records
RL0023,Grade A Productions
RL0024,Hollywood Records
RL0025,Interscope
RL0026,Malavika
RL0027,Marvelous Entertainment
RL0028,Mosley
RL0029,Mute
RL0030,Parlophone
RL0031,Profile Records
RL0032,Relentless
RL0033,Republic Records
RL0034,Republic Rercords
RL0035,Roc-A-Fella Reccords
RL0036,Rostrum Records
RL0037,Walt Disney
RL0038,XL Recordings
RL0039,XO
RL0040,Young Money
RL0041,ZTM Collections
